time,Date_Time,3:Temperature_Comedor_Sensor,4:Temperature_Habitacion_Sensor,5:Weather_Temperature,6:CO2_Comedor_Sensor,7:CO2_Habitacion_Sensor,8:Humedad_Comedor_Sensor,9:Humedad_Habitacion_Sensor,10:Lighting_Comedor_Sensor,11:Lighting_Habitacion_Sensor,12:Precipitacion,13:Meteo_Exterior_Crepusculo,14:Meteo_Exterior_Viento,15:Meteo_Exterior_Sol_Oest,16:Meteo_Exterior_Sol_Est,17:Meteo_Exterior_Sol_Sud,18:Meteo_Exterior_Piranometro,19:Exterior_Entalpic_1,20:Exterior_Entalpic_2,21:Exterior_Entalpic_turbo,22:Temperature_Exterior_Sensor,23:Humedad_Exterior_Sensor,24:Day_Of_Week
0,2012-03-13 11:45:00,18.1875,17.8275,0.0,216.56,221.92,39.9125,42.415,81.665,113.52,0.0,623.36,1.42625,9690.24,12604.2,95436.8,758.88,0,0,0,18.115,48.375,2.0
1,2012-03-13 12:00:00,18.4633,18.1207,6.8,219.947,220.363,39.9267,42.2453,81.7413,113.605,0.0,623.211,1.5919999999999999,11022.0,10787.2,95436.8,762.069,0,0,0,18.4147,47.808,2.0
2,2012-03-13 12:15:00,18.7673,18.4367,17.0,219.403,218.933,39.772,42.2267,81.42399999999999,113.6,0.0,622.656,1.89133,13960.5,9669.63,95398.6,766.2510000000001,0,0,0,18.8533,47.431999999999995,2.0
3,2012-03-13 12:30:00,19.0727,18.7513,18.0,218.613,217.045,39.775999999999996,42.0987,81.5013,113.344,0.0,622.571,1.828,18511.2,9648.13,95360.3,766.0369999999999,0,0,0,19.2907,47.023999999999994,2.0
4,2012-03-13 12:45:00,19.3721,19.0414,20.0,217.71400000000003,216.08,39.7757,42.0686,81.4657,113.03399999999999,0.0,622.4,2.3607099999999996,26349.0,9208.32,95354.9,762.743,0,0,0,19.74,45.4743,2.0
5,2012-03-13 13:00:00,19.6407,19.2773,20.0,218.389,216.011,39.8107,42.0347,81.2427,113.6,0.0,622.4,2.06333,36511.7,8694.78,95354.9,752.683,0,0,0,20.166,45.5467,2.0
6,2012-03-13 13:15:00,19.912,19.5367,20.0,218.155,215.829,39.8613,41.9947,81.36,112.98100000000001,0.0,622.4,2.23067,49288.5,8501.25,95354.9,740.949,0,0,0,20.566,44.968,2.0
7,2012-03-13 13:30:00,20.164,19.7307,20.0,216.66099999999997,215.296,39.824,41.9947,81.024,111.259,0.0,621.803,1.9240000000000002,62253.7,8687.62,95174.7,721.1089999999999,0,0,0,20.8427,45.1813,2.0
8,2012-03-13 13:45:00,20.412,19.9693,20.0,217.46099999999998,214.549,39.9587,42.1253,81.104,83.3547,0.0,620.651,2.51067,71453.4,8888.32,91848.7,699.3919999999999,0,0,0,21.204,45.416000000000004,2.0
9,2012-03-13 14:00:00,20.64,20.1407,20.0,215.34900000000002,213.90900000000002,39.94,42.0427,81.1813,83.36,0.0,620.309,2.65333,80076.8,9046.02,87217.5,677.675,0,0,0,21.5227,45.0213,2.0
10,2012-03-13 14:15:00,20.8453,20.3267,20.0,213.888,213.312,39.9813,42.1787,61.0693,83.6107,0.0,619.755,2.82667,86682.3,9182.21,81720.7,648.427,0,0,0,21.756,44.36,2.0
11,2012-03-13 14:30:00,21.0333,20.4713,20.0,215.41299999999998,213.739,40.3587,42.7067,51.2373,59.952,0.0,619.712,2.49467,88648.4,9347.07,75380.1,615.68,0,0,0,21.984,44.7947,2.0
12,2012-03-13 14:45:00,21.2333,20.9093,20.0,216.021,222.528,40.9107,41.5147,43.3733,52.824,0.0,619.328,2.4659999999999997,91406.3,9712.64,68515.2,582.869,0,0,0,22.108,43.983999999999995,2.0
