var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var12(t-1),var13(t-1),var14(t-1),var15(t-1),var16(t-1),var17(t-1),var18(t-1),var19(t-1),var20(t-1),var21(t-1),var22(t-1),var23(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t),var11(t),var12(t),var13(t),var14(t),var15(t),var16(t),var17(t),var18(t),var19(t),var20(t),var21(t),var22(t),var23(t)
0,-0.354817232,-0.353587275,-3.331721265,0.298983935,0.381329348,-0.753983079,-0.64927766,2.357649483,1.719993644,-0.227579398,0.976994944,0.273642388,-0.202099715,0.016373531,2.244082214,1.830101232,0,0,0,0.34931663,-0.58437731,-0.981420239,0.000361925,-0.258140233,-0.249640248,-1.701509004,0.424299372,0.32662866,-0.751827071,-0.671735361,2.360924973,1.722002226,-0.227579398,0.976506431,0.416398282,-0.150797973,-0.06714898,2.244082214,1.840832092,0,0,0,0.426456184,-0.62793488,-0.981420239
0.000361925,-0.258140233,-0.249640248,-1.701509004,0.424299372,0.32662866,-0.751827071,-0.671735361,2.360924973,1.722002226,-0.227579398,0.976506431,0.416398282,-0.150797973,-0.06714898,2.244082214,1.840832092,0,0,0,0.426456184,-0.62793488,-0.981420239,0.000723851,-0.151578203,-0.137610028,0.743809387,0.404171945,0.27638975,-0.775315406,-0.674196842,2.347303571,1.721884074,-0.227579398,0.974686803,0.674202937,-0.037601774,-0.118520611,2.242914142,1.854904359,0,0,0,0.539347104,-0.656819618,-0.981420239
0.000723851,-0.151578203,-0.137610028,0.743809387,0.404171945,0.27638975,-0.775315406,-0.674196842,2.347303571,1.721884074,-0.227579398,0.974686803,0.674202937,-0.037601774,-0.118520611,2.242914142,1.854904359,0,0,0,0.539347104,-0.656819618,-0.981420239,0.001085776,-0.044525426,-0.026076145,0.983546484,0.374942776,0.210060335,-0.77470808,-0.691136062,2.35062199,1.7158347,-0.227579398,0.974408122,0.619658559,0.137699211,-0.119508907,2.241743013,1.854184257,0,0,0,0.651929157,-0.688162632,-0.981420239
0.001085776,-0.044525426,-0.026076145,0.983546484,0.374942776,0.210060335,-0.77470808,-0.691136062,2.35062199,1.7158347,-0.227579398,0.974408122,0.619658559,0.137699211,-0.119508907,2.241743013,1.854184257,0,0,0,0.651929157,-0.688162632,-0.981420239,0.001447702,0.060424152,0.076771851,1.463020679,0.341680721,0.176157854,-0.774753629,-0.695119426,2.349093715,1.708509286,-0.227579398,0.97384748,1.078466958,0.439625081,-0.139725767,2.241577892,1.843100076,0,0,0,0.767574142,-0.807212309,-0.981420239
0.001447702,0.060424152,0.076771851,1.463020679,0.341680721,0.176157854,-0.774753629,-0.695119426,2.349093715,1.708509286,-0.227579398,0.97384748,1.078466958,0.439625081,-0.139725767,2.241577892,1.843100076,0,0,0,0.767574142,-0.807212309,-0.981420239,0.001809627,0.154577314,0.160404537,1.463020679,0.366655011,0.173733739,-0.769439526,-0.699605672,2.339520527,1.721884074,-0.227579398,0.97384748,0.822341783,0.831110197,-0.163331794,2.241577892,1.809248569,0,0,0,0.877221957,-0.801650461,-0.981420239
0.001809627,0.154577314,0.160404537,1.463020679,0.366655011,0.173733739,-0.769439526,-0.699605672,2.339520527,1.721884074,-0.227579398,0.97384748,0.822341783,0.831110197,-0.163331794,2.241577892,1.809248569,0,0,0,0.877221957,-0.801650461,-0.981420239,0.002171553,0.249676915,0.252368585,1.463020679,0.357997257,0.167339695,-0.761756852,-0.704899179,2.344556109,1.707256877,-0.227579398,0.97384748,0.9664671,1.323295052,-0.172227838,2.241577892,1.769764118,0,0,0,0.980177652,-0.846106838,-0.981420239
0.002171553,0.249676915,0.252368585,1.463020679,0.357997257,0.167339695,-0.761756852,-0.704899179,2.344556109,1.707256877,-0.227579398,0.97384748,0.9664671,1.323295052,-0.172227838,2.241577892,1.769764118,0,0,0,0.980177652,-0.846106838,-0.981420239,0.002533478,0.33801123,0.321146631,1.463020679,0.302720829,0.148614283,-0.767420167,-0.704899179,2.330131934,1.666565385,-0.227579398,0.97189015,0.702340705,1.822737407,-0.163660919,2.236067774,1.703003293,0,0,0,1.051397254,-0.829720895,-0.981420239
0.002533478,0.33801123,0.321146631,1.463020679,0.302720829,0.148614283,-0.767420167,-0.704899179,2.330131934,1.666565385,-0.227579398,0.97189015,0.702340705,1.822737407,-0.163660919,2.236067774,1.703003293,0,0,0,1.051397254,-0.829720895,-0.981420239,0.002895404,0.424943412,0.405736538,1.463020679,0.332319987,0.122370601,-0.746968463,-0.68761588,2.333566261,1.007176544,-0.227579398,0.968113193,1.207623361,2.177126065,-0.15443529,2.134366026,1.629926437,0,0,0,1.144391986,-0.81169098,-0.981420239
0.002895404,0.424943412,0.405736538,1.463020679,0.332319987,0.122370601,-0.746968463,-0.68761588,2.333566261,1.007176544,-0.227579398,0.968113193,1.207623361,2.177126065,-0.15443529,2.134366026,1.629926437,0,0,0,1.144391986,-0.81169098,-0.981420239,0.003257329,0.504864935,0.466502296,1.463020679,0.254178209,0.099886053,-0.749807712,-0.698546971,2.33688468,1.007301785,-0.227579398,0.966991909,1.330492476,2.509314632,-0.147186254,1.99275414,1.556849581,0,0,0,1.226421936,-0.842012273,-0.981420239
0.003257329,0.504864935,0.466502296,1.463020679,0.254178209,0.099886053,-0.749807712,-0.698546971,2.33688468,1.007301785,-0.227579398,0.966991909,1.330492476,2.509314632,-0.147186254,1.99275414,1.556849581,0,0,0,1.226421936,-0.842012273,-0.981420239,0.003619254,0.576829358,0.532444134,1.463020679,0.200122746,0.078912187,-0.743537071,-0.680549049,1.473494739,1.013225917,-0.227579398,0.96517556,1.479785427,2.763770134,-0.140925972,1.824674114,1.458431204,0,0,0,1.286470846,-0.892814074,-0.981420239
