time_rank,temperature,pressure,humidity,wind_speed,PM2.5,NO2,CO,O3,SO2
0,-2.2,1027.7,15.0,2.3,109.0,30.0,1.3,46.0,36.0
1,-2.3,1027.3,16.0,2.3,117.0,32.0,1.4,42.0,50.0
2,-3.0,1026.9,18.0,1.9,119.0,31.0,1.5,41.0,55.0
3,-2.5,1026.4,17.0,2.1,124.0,33.0,1.6,35.0,49.0
4,-3.0,1025.4,19.0,1.0,121.0,32.0,1.6,35.5,38.0
5,-3.1,1025.2,20.0,1.4,122.0,26.0,1.6,36.0,30.0
6,-4.6,1024.6,23.0,0.7,122.0,29.0,1.8,31.0,28.0
7,-5.6,1024.6,27.0,1.0,126.0,39.0,1.8,21.0,29.0
8,-6.7,1025.0,30.0,0.5,125.0,36.66666667,1.8333333330000001,26.0,33.66666667
9,-2.9,1025.0,23.0,1.4,124.0,34.33333333,1.8666666669999998,31.0,38.33333333
10,-1.1,1024.9,20.0,1.9,123.0,32.0,1.9,36.0,43.0
11,0.1,1024.7,16.0,1.6,127.0,31.0,1.8,48.0,48.0
12,1.9,1023.6,14.0,1.3,114.0,27.0,1.5,62.0,41.0
13,3.6,1022.5,12.0,1.4,89.0,23.0,1.2,73.0,32.0
14,4.3,1021.6,12.0,0.8,84.0,25.0,1.1,75.0,29.0
15,4.8,1021.3,12.0,1.2,75.0,25.0,0.1,77.0,26.0
16,4.6,1021.7,12.0,1.9,69.0,24.0,0.9,81.0,24.0
17,3.3,1022.5,15.0,1.7,81.0,27.0,0.1,84.0,30.0
18,1.5,1023.1,17.0,1.6,87.0,35.0,1.1,75.0,32.0
19,0.0,1023.8,20.0,2.1,88.0,36.0,1.1,70.0,34.0
20,0.4,1024.7,20.0,1.9,115.0,56.0,1.5,47.0,46.0
21,-2.0,1025.7,25.0,1.3,131.0,82.0,1.9,23.0,57.0
22,-4.3,1026.5,32.0,1.2,127.0,83.0,1.7,16.0,49.0
23,-0.3,1027.5,19.0,2.0,33.0,49.0,0.7,31.0,18.0
24,-0.3,1028.4,19.0,2.4,12.0,28.0,0.4,45.0,14.0
25,-1.0,1029.0,20.0,1.9,10.0,22.0,0.4,49.0,10.0
26,-0.9,1030.0,19.0,2.5,7.0,21.0,0.4,47.0,8.0
27,-1.3,1030.5,19.0,2.8,11.0,23.0,0.5,42.0,7.0
28,-1.7,1031.4,19.0,2.1,9.0,19.0,0.4,46.0,8.0
29,-2.6,1032.1,20.0,1.0,8.0,20.0,0.4,46.0,7.0
30,-4.4,1032.8,25.0,1.5,8.0,21.0,0.4,46.0,8.0
31,-4.0,1033.4,25.0,2.9,6.0,29.0,0.5,40.0,8.0
32,-3.4,1034.2,24.0,3.4,6.0,32.0,0.4,41.0,7.0
33,-1.6,1034.8,20.0,3.8,8.0,35.0,0.4,41.0,9.0
34,-0.2,1035.2,16.0,3.2,6.0,23.0,0.3,54.0,7.0
35,1.0,1035.0,14.0,3.4,6.0,18.0,0.4,59.0,6.0
36,1.4,1034.4,13.0,2.4,9.0,18.0,0.4,60.0,7.0
37,2.6,1033.6,12.0,1.5,8.0,20.0,0.4,60.0,7.0
38,3.7,1032.7,11.0,2.1,12.0,18.0,0.4,63.0,8.0
39,4.2,1032.1,11.0,1.6,13.0,15.0,0.4,68.0,7.0
40,3.9,1032.0,13.0,2.8,21.0,17.0,0.5,71.0,12.0
41,2.8,1031.7,15.0,2.1,46.0,25.0,0.7,70.0,18.0
42,1.3,1031.7,18.0,1.9,51.0,33.0,0.7,60.0,19.0
43,-0.4,1031.7,22.0,1.1,82.0,36.0,0.9,59.0,24.0
44,-3.7,1031.2,27.0,0.8,125.0,41.0,0.1,51.0,48.0
45,-3.2,1031.0,28.0,1.1,129.0,45.0,1.1,43.0,55.0
46,-5.3,1030.6,32.0,0.8,144.0,58.0,1.4,28.0,52.0
47,-6.7,1030.4,36.0,0.8,145.0,61.0,1.7,23.0,55.0
48,-7.2,1030.3,36.0,0.8,156.0,61.0,0.2,20.0,55.0
49,-5.0,1030.1,30.0,1.7,166.0,57.0,2.4,20.0,57.0
50,-8.0,1029.9,39.0,0.9,174.0,62.0,2.7,15.0,57.0
51,-8.8,1029.3,42.0,0.8,194.0,64.0,2.8,14.0,63.0
52,-9.6,1028.9,48.0,0.1,194.0,66.0,0.3,10.0,56.0
53,-10.1,1028.5,51.0,0.8,190.0,74.0,3.5,6.0,54.0
54,-10.2,1028.2,55.0,0.9,127.0,72.0,4.1,2.0,34.0
55,-10.3,1028.1,55.0,0.5,109.0,73.0,3.9,2.0,29.0
56,-9.6,1028.4,56.0,0.7,112.5,78.0,2.2,3.0,47.5
57,-4.1,1028.4,42.0,0.3,116.0,83.0,0.5,4.0,66.0
58,-0.7,1028.1,23.0,1.2,89.0,73.5,1.15,12.0,48.5
59,1.2,1027.5,21.0,1.4,62.0,64.0,1.8,20.0,31.0
60,2.6,1026.3,17.0,1.4,64.0,63.0,1.8,27.0,32.0
61,3.9,1024.9,16.0,1.6,68.0,61.0,1.6,37.0,32.0
62,4.6,1023.7,17.0,2.0,75.0,48.0,1.3,53.0,29.0
63,5.3,1022.9,18.0,1.5,101.0,46.0,1.5,67.0,34.0
64,5.2,1022.4,18.0,1.8,119.0,47.0,1.6,73.0,38.0
65,4.2,1022.5,19.0,1.5,125.0,48.0,1.6,72.0,38.0
66,2.1,1022.5,24.0,1.2,131.0,54.0,1.7,64.0,39.0
67,-0.1,1022.7,28.0,0.8,180.0,58.0,2.1,63.0,55.0
68,-1.8,1022.5,34.0,0.5,211.0,94.0,2.4,28.0,74.0
69,-2.8,1022.4,36.0,0.6,236.0,107.0,2.7,15.0,79.0
70,-3.6,1022.1,40.0,0.5,233.0,109.0,2.8,10.0,72.0
71,-4.0,1021.8,43.0,0.6,240.0,105.0,2.8,8.0,68.0
72,-4.7,1021.3,45.0,0.8,252.0,110.0,3.4,6.0,77.0
73,-5.4,1021.1,51.0,0.3,313.0,115.0,4.5,5.0,94.0
74,-5.6,1021.1,52.0,0.8,305.0,109.0,4.4,4.0,78.0
75,-6.0,1020.9,53.0,0.4,308.0,108.0,4.8,4.0,84.0
76,-6.6,1020.7,57.0,0.0,295.0,105.0,6.2,4.0,71.0
77,-6.9,1020.3,60.0,0.6,286.0,108.0,8.6,4.0,75.0
78,-7.1,1020.4,61.0,0.9,264.0,107.0,9.4,4.0,76.0
79,-7.0,1020.7,64.0,0.5,246.0,121.0,0.6,3.0,73.0
80,-6.9,1021.1,64.0,0.5,216.0,123.0,6.3,4.0,68.0
81,-4.0,1021.0,58.0,0.1,198.0,114.0,0.7,4.0,78.0
82,0.6,1020.6,34.0,0.5,192.0,114.0,7.1,5.0,94.0
83,2.4,1020.1,27.0,0.8,147.0,108.0,4.2,6.0,56.0
84,4.1,1019.0,24.0,1.4,144.0,106.0,3.1,11.0,52.0
85,5.1,1017.7,24.0,1.4,187.0,117.0,3.4,15.0,64.0
86,6.0,1016.6,24.0,1.2,214.0,103.0,3.1,33.0,73.0
87,6.5,1016.2,26.0,1.7,211.0,76.0,2.7,65.0,72.0
88,6.1,1015.8,28.0,1.9,230.0,66.0,2.7,85.0,73.0
89,5.2,1016.1,31.0,1.0,233.0,63.0,2.6,87.0,64.0
90,2.3,1016.3,39.0,1.0,257.0,74.0,2.8,71.0,66.0
91,-0.1,1016.5,45.0,1.0,270.0,101.0,3.1,35.0,69.0
92,-1.1,1016.6,53.0,1.0,281.0,80.0,3.1,39.0,73.0
93,-1.8,1016.4,60.0,0.3,293.0,79.0,0.3,29.0,65.0
94,-1.9,1016.2,61.0,1.2,280.0,80.0,0.3,24.0,66.0
95,-1.7,1015.8,62.0,1.3,295.0,109.0,3.3,4.0,63.0
96,-1.6,1016.1,63.0,0.8,321.0,108.0,3.9,3.0,59.0
97,-1.8,1015.5,66.0,2.5,320.0,103.0,3.8,3.0,52.0
98,0.7,1015.4,65.0,1.3,322.0,92.0,3.7,4.0,53.0
99,0.4,1015.1,64.0,0.6,362.0,87.0,0.4,6.0,60.0
100,-0.4,1014.7,69.0,0.3,379.0,92.0,4.2,5.0,70.0
101,-0.5,1014.5,71.0,1.2,374.0,92.0,4.3,4.0,67.0
102,-0.8,1014.4,73.0,1.0,368.0,90.0,4.9,3.0,53.0
103,-1.6,1014.6,77.0,0.7,387.0,89.0,5.3,4.0,48.0
104,-1.8,1014.9,77.0,0.8,383.0,85.0,4.9,3.0,38.0
105,0.1,1015.1,77.0,0.9,393.0,85.0,4.8,5.0,41.0
106,1.7,1015.0,67.0,1.2,412.0,93.0,4.9,7.0,70.0
107,3.7,1014.5,52.0,1.3,379.0,118.0,0.5,9.0,91.0
108,4.3,1013.9,50.0,1.0,360.0,117.0,4.3,14.0,79.0
109,5.9,1012.6,46.0,1.1,366.0,119.0,4.1,20.0,79.0
