var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t)
0,-1.336280535,1.516745279,-1.369068805,0.296192277,0.995761874,-0.616965821,0.640122761,-0.278613623,2.438105734,0.000113856,-1.344754187,1.477402027,-1.330972917,0.296192277,1.145838448,-0.547825254,0.774425155,-0.338424881,3.688146346
0.000113856,-1.344754187,1.477402027,-1.330972917,0.296192277,1.145838448,-0.547825254,0.774425155,-0.338424881,3.688146346,0.000227713,-1.404069746,1.438058776,-1.254781141,-0.007835179,1.183357592,-0.582395538,0.908727549,-0.353377695,4.134589421
0.000227713,-1.404069746,1.438058776,-1.254781141,-0.007835179,1.183357592,-0.582395538,0.908727549,-0.353377695,4.134589421,0.000341569,-1.361701489,1.388879711,-1.292877029,0.144178549,1.277155451,-0.513254971,1.043029943,-0.443094581,3.598857731
0.000341569,-1.361701489,1.388879711,-1.292877029,0.144178549,1.277155451,-0.513254971,1.043029943,-0.443094581,3.598857731,0.000455425,-1.404069746,1.290521582,-1.216685253,-0.691896955,1.220876735,-0.547825254,1.043029943,-0.435618174,2.616682965
0.000455425,-1.404069746,1.290521582,-1.216685253,-0.691896955,1.220876735,-0.547825254,1.043029943,-0.435618174,2.616682965,0.000569282,-1.412543397,1.270849956,-1.178589365,-0.387869499,1.239636307,-0.755246955,1.043029943,-0.428141766,1.902374044
0.000569282,-1.412543397,1.270849956,-1.178589365,-0.387869499,1.239636307,-0.755246955,1.043029943,-0.428141766,1.902374044,0.000683138,-1.539648167,1.211835079,-1.064301701,-0.919917547,1.239636307,-0.651536105,1.311634731,-0.502905838,1.723796814
0.000683138,-1.539648167,1.211835079,-1.064301701,-0.919917547,1.239636307,-0.651536105,1.311634731,-0.502905838,1.723796814,0.000796994,-1.62438468,1.211835079,-0.911918149,-0.691896955,1.314674594,-0.30583327,1.311634731,-0.652433981,1.813085429
0.000796994,-1.62438468,1.211835079,-0.911918149,-0.691896955,1.314674594,-0.30583327,1.311634731,-0.652433981,1.813085429,0.000910851,-1.717594844,1.251178331,-0.797630486,-1.071931275,1.295915023,-0.386497265,1.356402195,-0.577669909,2.229765633
0.000910851,-1.717594844,1.251178331,-0.797630486,-1.071931275,1.295915023,-0.386497265,1.356402195,-0.577669909,2.229765633,0.001024707,-1.395596094,1.251178331,-1.064301701,-0.387869499,1.277155451,-0.46716126,1.401169661,-0.502905838,2.646445836
0.001024707,-1.395596094,1.251178331,-1.064301701,-0.387869499,1.277155451,-0.46716126,1.401169661,-0.502905838,2.646445836,0.001138563,-1.243070371,1.241342518,-1.178589365,-0.007835179,1.258395879,-0.547825254,1.445937125,-0.428141766,3.06312604
0.001138563,-1.243070371,1.241342518,-1.178589365,-0.007835179,1.258395879,-0.547825254,1.445937125,-0.428141766,3.06312604,0.001252419,-1.141386555,1.221670892,-1.330972917,-0.235855771,1.333434166,-0.582395538,1.311634731,-0.248707995,3.509569116
0.001252419,-1.141386555,1.221670892,-1.330972917,-0.235855771,1.333434166,-0.582395538,1.311634731,-0.248707995,3.509569116,0.001366276,-0.988860831,1.11347695,-1.407164693,-0.463876363,1.089559733,-0.720676672,0.908727549,-0.039368595,2.88454881
0.001366276,-0.988860831,1.11347695,-1.407164693,-0.463876363,1.089559733,-0.720676672,0.908727549,-0.039368595,2.88454881,0.001480132,-0.844808759,1.005283008,-1.483356469,-0.387869499,0.620570437,-0.858957806,0.505820367,0.125112363,2.080951274
0.001480132,-0.844808759,1.005283008,-1.483356469,-0.387869499,0.620570437,-0.858957806,0.505820367,0.125112363,2.080951274,0.001593988,-0.7854932,0.916760692,-1.483356469,-0.843910683,0.526772578,-0.789817239,0.371517973,0.155017991,1.813085429
0.001593988,-0.7854932,0.916760692,-1.483356469,-0.843910683,0.526772578,-0.789817239,0.371517973,0.155017991,1.813085429,0.001707845,-0.743124943,0.887253253,-1.483356469,-0.539883227,0.357936432,-0.789817239,-0.971505968,0.18492362,1.545219584
0.001707845,-0.743124943,0.887253253,-1.483356469,-0.539883227,0.357936432,-0.789817239,-0.971505968,0.18492362,1.545219584,0.001821701,-0.760072246,0.926596505,-1.483356469,-0.007835179,0.245379001,-0.824387522,0.102913185,0.244734877,1.366642353
0.001821701,-0.760072246,0.926596505,-1.483356469,-0.007835179,0.245379001,-0.824387522,0.102913185,0.244734877,1.366642353,0.001935557,-0.870229713,1.005283008,-1.369068805,-0.159848907,0.470493863,-0.720676672,-0.971505968,0.28959332,1.902374044
0.001935557,-0.870229713,1.005283008,-1.369068805,-0.159848907,0.470493863,-0.720676672,-0.971505968,0.28959332,1.902374044,0.002049414,-1.022755437,1.064297885,-1.292877029,-0.235855771,0.583051294,-0.444114404,0.371517973,0.155017991,2.080951274
0.002049414,-1.022755437,1.064297885,-1.292877029,-0.235855771,0.583051294,-0.444114404,0.371517973,0.155017991,2.080951274,0.00216327,-1.149860206,1.133148576,-1.178589365,0.144178549,0.601810865,-0.40954412,0.371517973,0.08025392,2.259528504
0.00216327,-1.149860206,1.133148576,-1.178589365,0.144178549,0.601810865,-0.40954412,0.371517973,0.08025392,2.259528504,0.002277126,-1.115965601,1.221670892,-1.178589365,-0.007835179,1.108319304,0.281861549,0.908727549,-0.263660809,3.330991885
0.002277126,-1.115965601,1.221670892,-1.178589365,-0.007835179,1.108319304,0.281861549,0.908727549,-0.263660809,3.330991885,0.002390983,-1.319333233,1.320029021,-0.988109925,-0.463876363,1.408472453,1.18068892,1.445937125,-0.622528352,4.313166651
