var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t)
0,1.282300569,0.453062475,0.312609769,0.899628808,0.999308501,0.683305515,0.000231535,0.946869349,0.627570205,0.801554603,0.560616461,0.636545492,0.488254132
0.000231535,0.946869349,0.627570205,0.801554603,0.560616461,0.636545492,0.488254132,0.00046307,0.595611086,0.810678835,0.882025357,0.721436863,0.829280439,0.73286417
0.00046307,0.595611086,0.810678835,0.882025357,0.721436863,0.829280439,0.73286417,0.000694605,0.898979778,0.798682844,0.975303428,0.858538427,0.931324634,0.683367931
0.000694605,0.898979778,0.798682844,0.975303428,0.858538427,0.931324634,0.683367931,0.00092614,0.989551313,0.871564153,0.701816204,0.468346841,0.574169952,0.556475304
0.00092614,0.989551313,0.871564153,0.701816204,0.468346841,0.574169952,0.556475304,0.001157675,0.462561808,1.020872755,1.245957175,0.721436863,0.676214147,0.546738339
0.001157675,0.462561808,1.020872755,1.245957175,0.721436863,0.676214147,0.546738339,0.00138921,0.829851335,0.602069292,1.064954648,0.726715139,0.727236244,0.906069798
0.00138921,0.829851335,0.602069292,1.064954648,0.726715139,0.727236244,0.906069798,0.001620746,1.02161384,0.782688188,1.28641923,0.606985118,0.829280439,0.597170824
0.001620746,1.02161384,0.782688188,1.28641923,0.606985118,0.829280439,0.597170824,0.001852281,0.962900613,1.529231202,1.405538613,0.789987645,0.625192049,0.567335765
0.001852281,0.962900613,1.529231202,1.405538613,0.789987645,0.625192049,0.567335765,0.002083816,0.718040928,1.283879218,0.665094339,1.180446485,0.931324634,0.797153106
0.002083816,0.718040928,1.283879218,0.665094339,1.180446485,0.931324634,0.797153106,0.002315351,1.122600591,1.384449388,0.974170037,0.76780552,0.880302537,0.665267163
0.002315351,1.122600591,1.384449388,0.974170037,0.76780552,0.880302537,0.665267163,0.002546886,1.090742283,0.855267711,0.910700147,1.022899951,0.778258342,0.5389987
0.002546886,1.090742283,0.855267711,0.910700147,1.022899951,0.778258342,0.5389987,0.002778421,0.813820071,0.704978304,0.579409987,0.755712254,0.727236244,0.61127694
0.002778421,0.813820071,0.704978304,0.579409987,0.755712254,0.727236244,0.61127694,0.003009956,0.898979778,0.847194936,1.084108954,0.670257624,0.574169952,0.574700905
0.003009956,0.898979778,0.847194936,1.084108954,0.670257624,0.574169952,0.574700905,0.003241491,1.474063075,1.634101822,0.752025421,0.783172655,0.999308501,0.700345204
0.003241491,1.474063075,1.634101822,0.752025421,0.783172655,0.999308501,0.700345204,0.003473026,1.491217548,0.604634472,1.581440881,0.824263036,0.880302537,0.58250296
0.003473026,1.491217548,0.604634472,1.581440881,0.824263036,0.880302537,0.58250296,0.003704561,0.160316325,0.489201343,1.115050526,0.865353417,0.75787686,0.621513237
0.003704561,0.160316325,0.489201343,1.115050526,0.865353417,0.75787686,0.621513237,0.003936096,0.309703197,0.954857077,0.638459653,1.152986084,1.095470792,0.950135807
0.003936096,0.309703197,0.954857077,0.638459653,1.152986084,1.095470792,0.950135807,0.004167631,1.97399344,1.701701877,1.034353094,0.381021429,0.585523394,0.442440463
0.004167631,1.97399344,1.701701877,1.034353094,0.381021429,0.585523394,0.442440463,0.004399166,1.250442261,1.131326416,1.238703473,0.97499458,0.829280439,0.67250747
0.004399166,1.250442261,1.131326416,1.238703473,0.97499458,0.829280439,0.67250747,0.004630702,1.378386042,0.906194091,0.246306401,0.803684438,0.635451184,0.326845211
0.004630702,1.378386042,0.906194091,0.246306401,0.803684438,0.635451184,0.326845211,0.004862237,0.994963141,1.693629103,1.072435028,0.498747041,0.655832665,0.473711101
0.004862237,0.994963141,1.693629103,1.072435028,0.498747041,0.655832665,0.473711101,0.005093772,2.304727602,1.790049716,1.453481048,1.180446485,1.135276236,0.863876283
0.005093772,2.304727602,1.790049716,1.453481048,1.180446485,1.135276236,0.863876283,0.005325307,2.518954298,2.20432639,1.962260223,0.76099053,0.880302537,0.830483486
